Node 0, RX suc 15243172, TX suc 0, RX failed 4968017, TX failed 0.
Node 1, RX suc 0, TX suc 1014515, RX failed 0, TX failed 65485.
Node 2, RX suc 0, TX suc 968244, RX failed 0, TX failed 111756.
Node 3, RX suc 0, TX suc 966384, RX failed 0, TX failed 113616.
Node 4, RX suc 202475, TX suc 1165300, RX failed 877525, TX failed 105702.
Node 5, RX suc 0, TX suc 916127, RX failed 0, TX failed 163873.
Node 6, RX suc 0, TX suc 1035552, RX failed 0, TX failed 44448.
Node 7, RX suc 799951, TX suc 1585937, RX failed 280049, TX failed 262471.
Node 8, RX suc 3179094, TX suc 1215049, RX failed 2090153, TX failed 546807.
Node 9, RX suc 0, TX suc 900523, RX failed 0, TX failed 179477.
Node 10, RX suc 3050700, TX suc 3797263, RX failed 814799, TX failed 760155.
Node 11, RX suc 0, TX suc 818697, RX failed 0, TX failed 261303.
Node 12, RX suc 0, TX suc 202475, RX failed 0, TX failed 877525.
Node 13, RX suc 2683036, TX suc 499352, RX failed 1497607, TX failed 1286237.
Node 14, RX suc 0, TX suc 1023604, RX failed 0, TX failed 56396.
Node 15, RX suc 0, TX suc 799951, RX failed 0, TX failed 280049.
Node 16, RX suc 0, TX suc 699497, RX failed 0, TX failed 380503.
Node 17, RX suc 830848, TX suc 1567624, RX failed 249152, TX failed 299926.
Node 18, RX suc 1623119, TX suc 1115412, RX failed 439497, TX failed 1197681.
Node 19, RX suc 0, TX suc 998884, RX failed 0, TX failed 81116.
Node 20, RX suc 2698740, TX suc 2172003, RX failed 541260, TX failed 937244.
Node 21, RX suc 4157629, TX suc 3050700, RX failed 776256, TX failed 814799.
Node 22, RX suc 0, TX suc 830848, RX failed 0, TX failed 249152.
Node 23, RX suc 667485, TX suc 1483046, RX failed 412515, TX failed 210839.
Node 24, RX suc 0, TX suc 307594, RX failed 0, TX failed 772406.
Node 25, RX suc 5941568, TX suc 360229, RX failed 2320194, TX failed 1066687.
Node 26, RX suc 0, TX suc 870286, RX failed 0, TX failed 209714.
Node 27, RX suc 866052, TX suc 1882263, RX failed 213948, TX failed 61281.
Node 28, RX suc 0, TX suc 818355, RX failed 0, TX failed 261645.
Node 29, RX suc 0, TX suc 948897, RX failed 0, TX failed 131103.
Node 30, RX suc 981190, TX suc 1099628, RX failed 98810, TX failed 898590.
Node 31, RX suc 1007613, TX suc 1623119, RX failed 72387, TX failed 439497.
Node 32, RX suc 0, TX suc 684880, RX failed 0, TX failed 395120.
Node 33, RX suc 0, TX suc 981190, RX failed 0, TX failed 98810.
Node 34, RX suc 0, TX suc 866052, RX failed 0, TX failed 213948.
Node 35, RX suc 0, TX suc 667485, RX failed 0, TX failed 412515.
Node 36, RX suc 0, TX suc 1007613, RX failed 0, TX failed 72387.
Node 37, RX suc 0, TX suc 962849, RX failed 0, TX failed 117151.
Node 38, RX suc 0, TX suc 857344, RX failed 0, TX failed 222656.
Node 39, RX suc 0, TX suc 879557, RX failed 0, TX failed 200443.
Node 40, RX suc 0, TX suc 288344, RX failed 0, TX failed 791656.
