Node 0, RX suc 7368829, TX suc 0, RX failed 1422445, TX failed 0.
Node 1, RX suc 317244, TX suc 362046, RX failed 50691, TX failed 680121.
Node 2, RX suc 0, TX suc 361101, RX failed 0, TX failed 3185.
Node 3, RX suc 0, TX suc 355870, RX failed 0, TX failed 8416.
Node 4, RX suc 0, TX suc 363458, RX failed 0, TX failed 828.
Node 5, RX suc 333000, TX suc 640246, RX failed 31286, TX failed 57040.
Node 6, RX suc 0, TX suc 310512, RX failed 0, TX failed 53774.
Node 7, RX suc 606858, TX suc 1221892, RX failed 125309, TX failed 109943.
Node 8, RX suc 0, TX suc 297897, RX failed 0, TX failed 66389.
Node 9, RX suc 438752, TX suc 753483, RX failed 289820, TX failed 49554.
Node 10, RX suc 426967, TX suc 1821712, RX failed 2680455, TX failed 233545.
Node 11, RX suc 800344, TX suc 1178509, RX failed 3331165, TX failed 226039.
Node 12, RX suc 3649, TX suc 317244, RX failed 360637, TX failed 50691.
Node 13, RX suc 0, TX suc 3649, RX failed 0, TX failed 360637.
Node 14, RX suc 0, TX suc 333000, RX failed 0, TX failed 31286.
Node 15, RX suc 3595, TX suc 319159, RX failed 360691, TX failed 48722.
Node 16, RX suc 0, TX suc 3595, RX failed 0, TX failed 360691.
Node 17, RX suc 0, TX suc 287699, RX failed 0, TX failed 76587.
Node 18, RX suc 630274, TX suc 254965, RX failed 95119, TX failed 742773.
Node 19, RX suc 985168, TX suc 172002, RX failed 1168885, TX failed 1937682.
Node 20, RX suc 1663134, TX suc 985168, RX failed 760229, TX failed 1168885.
Node 21, RX suc 663541, TX suc 10264, RX failed 65029, TX failed 1017561.
Node 22, RX suc 0, TX suc 3701, RX failed 0, TX failed 360584.
Node 23, RX suc 237651, TX suc 435785, RX failed 126634, TX failed 166151.
Node 24, RX suc 0, TX suc 326459, RX failed 0, TX failed 37826.
Node 25, RX suc 0, TX suc 348937, RX failed 0, TX failed 15348.
Node 26, RX suc 0, TX suc 362101, RX failed 0, TX failed 2185.
Node 27, RX suc 0, TX suc 318580, RX failed 0, TX failed 45706.
Node 28, RX suc 0, TX suc 312330, RX failed 0, TX failed 51955.
Node 29, RX suc 0, TX suc 357519, RX failed 0, TX failed 6767.
Node 30, RX suc 0, TX suc 349507, RX failed 0, TX failed 14779.
Node 31, RX suc 0, TX suc 249763, RX failed 0, TX failed 114522.
Node 32, RX suc 0, TX suc 237651, RX failed 0, TX failed 126634.
Node 33, RX suc 2347584, TX suc 800344, RX failed 239917, TX failed 3331165.
Node 34, RX suc 0, TX suc 282954, RX failed 0, TX failed 81332.
Node 35, RX suc 0, TX suc 274403, RX failed 0, TX failed 89883.
Node 36, RX suc 0, TX suc 361108, RX failed 0, TX failed 3178.
Node 37, RX suc 2158186, TX suc 2347584, RX failed 1419640, TX failed 239917.
Node 38, RX suc 0, TX suc 351211, RX failed 0, TX failed 13074.
Node 39, RX suc 0, TX suc 140855, RX failed 0, TX failed 223431.
Node 40, RX suc 361108, TX suc 630274, RX failed 3178, TX failed 95119.
Node 41, RX suc 0, TX suc 150802, RX failed 0, TX failed 213484.
Node 42, RX suc 0, TX suc 350545, RX failed 0, TX failed 13741.
