Node 0, RX suc 10277400, TX suc 0, RX failed 1480847, TX failed 0.
Node 1, RX suc 0, TX suc 363881, RX failed 0, TX failed 405.
Node 2, RX suc 0, TX suc 353792, RX failed 0, TX failed 10494.
Node 3, RX suc 0, TX suc 340781, RX failed 0, TX failed 23505.
Node 4, RX suc 0, TX suc 352848, RX failed 0, TX failed 11438.
Node 5, RX suc 0, TX suc 340490, RX failed 0, TX failed 23796.
Node 6, RX suc 306971, TX suc 512572, RX failed 57315, TX failed 158684.
Node 7, RX suc 1273376, TX suc 1553427, RX failed 183766, TX failed 84233.
Node 8, RX suc 0, TX suc 359767, RX failed 0, TX failed 4518.
Node 9, RX suc 783159, TX suc 1435012, RX failed 523758, TX failed 226943.
Node 10, RX suc 3693086, TX suc 4393426, RX failed 2775625, TX failed 480949.
Node 11, RX suc 0, TX suc 323805, RX failed 0, TX failed 40481.
Node 12, RX suc 363000, TX suc 307366, RX failed 1286, TX failed 419919.
Node 13, RX suc 0, TX suc 363000, RX failed 0, TX failed 1286.
Node 14, RX suc 0, TX suc 306971, RX failed 0, TX failed 57315.
Node 15, RX suc 0, TX suc 283828, RX failed 0, TX failed 80457.
Node 16, RX suc 0, TX suc 298757, RX failed 0, TX failed 65529.
Node 17, RX suc 0, TX suc 331024, RX failed 0, TX failed 33262.
Node 18, RX suc 0, TX suc 329379, RX failed 0, TX failed 34907.
Node 19, RX suc 0, TX suc 315773, RX failed 0, TX failed 48513.
Node 20, RX suc 1075403, TX suc 793102, RX failed 17454, TX failed 646586.
Node 21, RX suc 0, TX suc 310608, RX failed 0, TX failed 53677.
Node 22, RX suc 0, TX suc 359982, RX failed 0, TX failed 4303.
Node 23, RX suc 0, TX suc 282734, RX failed 0, TX failed 81551.
Node 24, RX suc 0, TX suc 347187, RX failed 0, TX failed 17098.
Node 25, RX suc 0, TX suc 306039, RX failed 0, TX failed 58247.
Node 26, RX suc 0, TX suc 274895, RX failed 0, TX failed 89391.
Node 27, RX suc 0, TX suc 302519, RX failed 0, TX failed 61767.
Node 28, RX suc 0, TX suc 270489, RX failed 0, TX failed 93797.
Node 29, RX suc 0, TX suc 300061, RX failed 0, TX failed 64225.
Node 30, RX suc 0, TX suc 298546, RX failed 0, TX failed 65740.
Node 31, RX suc 0, TX suc 355392, RX failed 0, TX failed 8894.
Node 32, RX suc 0, TX suc 285266, RX failed 0, TX failed 79019.
Node 33, RX suc 0, TX suc 343311, RX failed 0, TX failed 20975.
Node 34, RX suc 3492861, TX suc 1911521, RX failed 799547, TX failed 2024644.
Node 35, RX suc 0, TX suc 3624, RX failed 0, TX failed 360661.
Node 36, RX suc 0, TX suc 241434, RX failed 0, TX failed 122851.
Node 37, RX suc 0, TX suc 333288, RX failed 0, TX failed 30997.
Node 38, RX suc 285266, TX suc 478546, RX failed 79019, TX failed 171005.
Node 39, RX suc 3624, TX suc 344332, RX failed 360661, TX failed 23578.
Node 40, RX suc 574722, TX suc 438827, RX failed 153848, TX failed 500180.
Node 41, RX suc 0, TX suc 360029, RX failed 0, TX failed 4257.
Node 42, RX suc 0, TX suc 321237, RX failed 0, TX failed 43049.
