Node 0, RX suc 8020882, TX suc 0, RX failed 1371356, TX failed 0.
Node 1, RX suc 359408, TX suc 353074, RX failed 8503, TX failed 731280.
Node 2, RX suc 0, TX suc 356444, RX failed 0, TX failed 7842.
Node 3, RX suc 0, TX suc 355949, RX failed 0, TX failed 8337.
Node 4, RX suc 0, TX suc 363400, RX failed 0, TX failed 886.
Node 5, RX suc 352873, TX suc 665463, RX failed 11413, TX failed 51695.
Node 6, RX suc 0, TX suc 174433, RX failed 0, TX failed 189853.
Node 7, RX suc 929917, TX suc 1184840, RX failed 148881, TX failed 123422.
Node 8, RX suc 0, TX suc 317168, RX failed 0, TX failed 47118.
Node 9, RX suc 657915, TX suc 967389, RX failed 70657, TX failed 54811.
Node 10, RX suc 733600, TX suc 1527681, RX failed 3092240, TX failed 115791.
Node 11, RX suc 1546286, TX suc 2072209, RX failed 2576065, TX failed 87439.
Node 12, RX suc 3626, TX suc 359408, RX failed 360660, TX failed 8503.
Node 13, RX suc 0, TX suc 3626, RX failed 0, TX failed 360660.
Node 14, RX suc 0, TX suc 352873, RX failed 0, TX failed 11413.
Node 15, RX suc 350227, TX suc 622175, RX failed 14059, TX failed 92337.
Node 16, RX suc 0, TX suc 350227, RX failed 0, TX failed 14059.
Node 17, RX suc 0, TX suc 307742, RX failed 0, TX failed 56544.
Node 18, RX suc 688892, TX suc 52146, RX failed 36383, TX failed 1004328.
Node 19, RX suc 2177411, TX suc 681454, RX failed 509201, TX failed 2087912.
Node 20, RX suc 2204189, TX suc 2177411, RX failed 227670, TX failed 509201.
Node 21, RX suc 696901, TX suc 576728, RX failed 31669, TX failed 484457.
Node 22, RX suc 0, TX suc 315314, RX failed 0, TX failed 48971.
Node 23, RX suc 246147, TX suc 549538, RX failed 118138, TX failed 60894.
Node 24, RX suc 0, TX suc 326576, RX failed 0, TX failed 37709.
Node 25, RX suc 0, TX suc 348762, RX failed 0, TX failed 15523.
Node 26, RX suc 0, TX suc 362085, RX failed 0, TX failed 2201.
Node 27, RX suc 0, TX suc 296428, RX failed 0, TX failed 67858.
Node 28, RX suc 0, TX suc 345662, RX failed 0, TX failed 18623.
Node 29, RX suc 0, TX suc 357386, RX failed 0, TX failed 6900.
Node 30, RX suc 0, TX suc 354584, RX failed 0, TX failed 9702.
Node 31, RX suc 0, TX suc 324649, RX failed 0, TX failed 39636.
Node 32, RX suc 0, TX suc 246147, RX failed 0, TX failed 118138.
Node 33, RX suc 3015639, TX suc 1546286, RX failed 249075, TX failed 2576065.
Node 34, RX suc 0, TX suc 322489, RX failed 0, TX failed 41797.
Node 35, RX suc 0, TX suc 315240, RX failed 0, TX failed 49046.
Node 36, RX suc 0, TX suc 360990, RX failed 0, TX failed 3296.
Node 37, RX suc 2868760, TX suc 3015639, RX failed 742426, TX failed 249075.
Node 38, RX suc 0, TX suc 351239, RX failed 0, TX failed 13046.
Node 39, RX suc 0, TX suc 340747, RX failed 0, TX failed 23539.
Node 40, RX suc 360990, TX suc 688892, RX failed 3296, TX failed 36383.
Node 41, RX suc 0, TX suc 272484, RX failed 0, TX failed 91802.
Node 42, RX suc 0, TX suc 350686, RX failed 0, TX failed 13600.
