Node 0, RX suc 13390426, TX suc 0, RX failed 413548, TX failed 0.
Node 1, RX suc 333375, TX suc 697663, RX failed 394740, TX failed 454.
Node 2, RX suc 0, TX suc 363397, RX failed 0, TX failed 889.
Node 3, RX suc 0, TX suc 362373, RX failed 0, TX failed 1913.
Node 4, RX suc 0, TX suc 364286, RX failed 0, TX failed 0.
Node 5, RX suc 363682, TX suc 663288, RX failed 604, TX failed 64679.
Node 6, RX suc 0, TX suc 333035, RX failed 0, TX failed 31251.
Node 7, RX suc 969106, TX suc 1116215, RX failed 121443, TX failed 219485.
Node 8, RX suc 0, TX suc 352655, RX failed 0, TX failed 11631.
Node 9, RX suc 716941, TX suc 996411, RX failed 11631, TX failed 84815.
Node 10, RX suc 3509590, TX suc 4102749, RX failed 627604, TX failed 5358.
Node 11, RX suc 3723346, TX suc 4391009, RX failed 339998, TX failed 4704.
Node 12, RX suc 363830, TX suc 333375, RX failed 456, TX failed 394740.
Node 13, RX suc 0, TX suc 363830, RX failed 0, TX failed 456.
Node 14, RX suc 0, TX suc 363682, RX failed 0, TX failed 604.
Node 15, RX suc 361978, TX suc 682431, RX failed 2308, TX failed 43832.
Node 16, RX suc 0, TX suc 361978, RX failed 0, TX failed 2308.
Node 17, RX suc 0, TX suc 286675, RX failed 0, TX failed 77611.
Node 18, RX suc 594371, TX suc 916344, RX failed 28397, TX failed 148116.
Node 19, RX suc 2514498, TX suc 2593246, RX failed 205833, TX failed 479488.
Node 20, RX suc 2331657, TX suc 2514498, RX failed 193952, TX failed 205833.
Node 21, RX suc 714809, TX suc 924877, RX failed 13761, TX failed 154216.
Node 22, RX suc 0, TX suc 342302, RX failed 0, TX failed 21983.
Node 23, RX suc 339898, TX suc 594730, RX failed 24387, TX failed 109452.
Node 24, RX suc 0, TX suc 360394, RX failed 0, TX failed 3891.
Node 25, RX suc 0, TX suc 355874, RX failed 0, TX failed 8411.
Node 26, RX suc 0, TX suc 362373, RX failed 0, TX failed 1913.
Node 27, RX suc 0, TX suc 361252, RX failed 0, TX failed 3034.
Node 28, RX suc 0, TX suc 359684, RX failed 0, TX failed 4601.
Node 29, RX suc 0, TX suc 343695, RX failed 0, TX failed 20591.
Node 30, RX suc 0, TX suc 323572, RX failed 0, TX failed 40714.
Node 31, RX suc 0, TX suc 331534, RX failed 0, TX failed 32751.
Node 32, RX suc 0, TX suc 339898, RX failed 0, TX failed 24387.
Node 33, RX suc 3473879, TX suc 3723346, RX failed 308082, TX failed 339998.
Node 34, RX suc 0, TX suc 363466, RX failed 0, TX failed 820.
Node 35, RX suc 0, TX suc 351655, RX failed 0, TX failed 12631.
Node 36, RX suc 0, TX suc 258483, RX failed 0, TX failed 105803.
Node 37, RX suc 3403915, TX suc 3473879, RX failed 225179, TX failed 308082.
Node 38, RX suc 0, TX suc 355125, RX failed 0, TX failed 9160.
Node 39, RX suc 0, TX suc 364286, RX failed 0, TX failed 0.
Node 40, RX suc 258483, TX suc 594371, RX failed 105803, TX failed 28397.
Node 41, RX suc 0, TX suc 364286, RX failed 0, TX failed 0.
Node 42, RX suc 0, TX suc 355562, RX failed 0, TX failed 8724.
