Node 0, RX suc 13519009, TX suc 0, RX failed 510107, TX failed 0.
Node 1, RX suc 0, TX suc 363158, RX failed 0, TX failed 1128.
Node 2, RX suc 0, TX suc 358822, RX failed 0, TX failed 5464.
Node 3, RX suc 0, TX suc 362389, RX failed 0, TX failed 1897.
Node 4, RX suc 0, TX suc 364286, RX failed 0, TX failed 0.
Node 5, RX suc 0, TX suc 361583, RX failed 0, TX failed 2703.
Node 6, RX suc 364076, TX suc 666096, RX failed 210, TX failed 62265.
Node 7, RX suc 1122906, TX suc 1244925, RX failed 334236, TX failed 242266.
Node 8, RX suc 0, TX suc 358906, RX failed 0, TX failed 5379.
Node 9, RX suc 1135986, TX suc 1877603, RX failed 308109, TX failed 0.
Node 10, RX suc 5984369, TX suc 7014398, RX failed 627902, TX failed 7699.
Node 11, RX suc 0, TX suc 362853, RX failed 0, TX failed 1433.
Node 12, RX suc 363863, TX suc 542896, RX failed 423, TX failed 185252.
Node 13, RX suc 0, TX suc 363863, RX failed 0, TX failed 423.
Node 14, RX suc 0, TX suc 364076, RX failed 0, TX failed 210.
Node 15, RX suc 0, TX suc 342380, RX failed 0, TX failed 21905.
Node 16, RX suc 0, TX suc 90423, RX failed 0, TX failed 273863.
Node 17, RX suc 0, TX suc 331197, RX failed 0, TX failed 33089.
Node 18, RX suc 0, TX suc 334721, RX failed 0, TX failed 29565.
Node 19, RX suc 0, TX suc 310410, RX failed 0, TX failed 53876.
Node 20, RX suc 1080363, TX suc 1016219, RX failed 12494, TX failed 428429.
Node 21, RX suc 0, TX suc 337976, RX failed 0, TX failed 26309.
Node 22, RX suc 0, TX suc 358712, RX failed 0, TX failed 5573.
Node 23, RX suc 0, TX suc 350768, RX failed 0, TX failed 13517.
Node 24, RX suc 0, TX suc 354843, RX failed 0, TX failed 9442.
Node 25, RX suc 0, TX suc 353086, RX failed 0, TX failed 11200.
Node 26, RX suc 0, TX suc 307253, RX failed 0, TX failed 57033.
Node 27, RX suc 0, TX suc 350657, RX failed 0, TX failed 13629.
Node 28, RX suc 0, TX suc 157132, RX failed 0, TX failed 207154.
Node 29, RX suc 0, TX suc 338028, RX failed 0, TX failed 26258.
Node 30, RX suc 0, TX suc 265320, RX failed 0, TX failed 98966.
Node 31, RX suc 0, TX suc 358011, RX failed 0, TX failed 6275.
Node 32, RX suc 0, TX suc 348660, RX failed 0, TX failed 15625.
Node 33, RX suc 0, TX suc 360159, RX failed 0, TX failed 4127.
Node 34, RX suc 3694855, TX suc 3962860, RX failed 660947, TX failed 111905.
Node 35, RX suc 0, TX suc 108797, RX failed 0, TX failed 255488.
Node 36, RX suc 0, TX suc 258850, RX failed 0, TX failed 105435.
Node 37, RX suc 0, TX suc 347877, RX failed 0, TX failed 16408.
Node 38, RX suc 348660, TX suc 557172, RX failed 15625, TX failed 155773.
Node 39, RX suc 108797, TX suc 291160, RX failed 255488, TX failed 181923.
Node 40, RX suc 606727, TX suc 844826, RX failed 121843, TX failed 126186.
Node 41, RX suc 0, TX suc 363640, RX failed 0, TX failed 646.
Node 42, RX suc 0, TX suc 322620, RX failed 0, TX failed 41666.
