Node 0, RX suc 11574519, TX suc 0, RX failed 1270453, TX failed 0.
Node 1, RX suc 244600, TX suc 608044, RX failed 119686, TX failed 841.
Node 2, RX suc 315230, TX suc 660717, RX failed 49056, TX failed 18798.
Node 3, RX suc 343532, TX suc 661543, RX failed 20754, TX failed 46275.
Node 4, RX suc 0, TX suc 352933, RX failed 0, TX failed 11353.
Node 5, RX suc 0, TX suc 315230, RX failed 0, TX failed 49056.
Node 6, RX suc 344464, TX suc 529200, RX failed 19822, TX failed 179549.
Node 7, RX suc 842832, TX suc 1418271, RX failed 325555, TX failed 77603.
Node 8, RX suc 0, TX suc 319958, RX failed 0, TX failed 44328.
Node 9, RX suc 555791, TX suc 804157, RX failed 172781, TX failed 115920.
Node 10, RX suc 1798699, TX suc 2916100, RX failed 1477735, TX failed 341876.
Node 11, RX suc 3621948, TX suc 3623554, RX failed 269633, TX failed 478238.
Node 12, RX suc 0, TX suc 244600, RX failed 0, TX failed 119686.
Node 13, RX suc 0, TX suc 343532, RX failed 0, TX failed 20754.
Node 14, RX suc 0, TX suc 344464, RX failed 0, TX failed 19822.
Node 15, RX suc 346836, TX suc 408842, RX failed 17450, TX failed 302279.
Node 16, RX suc 0, TX suc 346836, RX failed 0, TX failed 17450.
Node 17, RX suc 92981, TX suc 433990, RX failed 271305, TX failed 23276.
Node 18, RX suc 0, TX suc 92981, RX failed 0, TX failed 271305.
Node 19, RX suc 0, TX suc 230869, RX failed 0, TX failed 133417.
Node 20, RX suc 832377, TX suc 934212, RX failed 249861, TX failed 273067.
Node 21, RX suc 0, TX suc 257006, RX failed 0, TX failed 107279.
Node 22, RX suc 257006, TX suc 377238, RX failed 107279, TX failed 244053.
Node 23, RX suc 0, TX suc 282585, RX failed 0, TX failed 81700.
Node 24, RX suc 0, TX suc 347046, RX failed 0, TX failed 17239.
Node 25, RX suc 0, TX suc 228471, RX failed 0, TX failed 135815.
Node 26, RX suc 0, TX suc 274911, RX failed 0, TX failed 89374.
Node 27, RX suc 0, TX suc 302294, RX failed 0, TX failed 61991.
Node 28, RX suc 0, TX suc 299095, RX failed 0, TX failed 65190.
Node 29, RX suc 0, TX suc 300089, RX failed 0, TX failed 64197.
Node 30, RX suc 353669, TX suc 502765, RX failed 10616, TX failed 215188.
Node 31, RX suc 0, TX suc 293841, RX failed 0, TX failed 70445.
Node 32, RX suc 0, TX suc 353669, RX failed 0, TX failed 10616.
Node 33, RX suc 0, TX suc 235833, RX failed 0, TX failed 128453.
Node 34, RX suc 2712788, TX suc 2961513, RX failed 565782, TX failed 115559.
Node 35, RX suc 0, TX suc 329509, RX failed 0, TX failed 34777.
Node 36, RX suc 299095, TX suc 421197, RX failed 65190, TX failed 242184.
Node 37, RX suc 0, TX suc 297831, RX failed 0, TX failed 66455.
Node 38, RX suc 0, TX suc 261638, RX failed 0, TX failed 102648.
Node 39, RX suc 2961513, TX suc 3621948, RX failed 115559, TX failed 269633.
Node 40, RX suc 2489818, TX suc 1798699, RX failed 1094991, TX failed 1477735.
Node 41, RX suc 0, TX suc 329612, RX failed 0, TX failed 34673.
Node 42, RX suc 0, TX suc 320875, RX failed 0, TX failed 43411.
