Node 0, RX suc 7079518, TX suc 0, RX failed 1636056, TX failed 0.
Node 1, RX suc 316736, TX suc 352781, RX failed 51127, TX failed 688950.
Node 2, RX suc 0, TX suc 351251, RX failed 0, TX failed 13035.
Node 3, RX suc 0, TX suc 355905, RX failed 0, TX failed 8381.
Node 4, RX suc 0, TX suc 363457, RX failed 0, TX failed 829.
Node 5, RX suc 333104, TX suc 640373, RX failed 31182, TX failed 57017.
Node 6, RX suc 0, TX suc 160873, RX failed 0, TX failed 203413.
Node 7, RX suc 606669, TX suc 1200494, RX failed 125576, TX failed 131074.
Node 8, RX suc 0, TX suc 297998, RX failed 0, TX failed 66288.
Node 9, RX suc 438336, TX suc 749180, RX failed 290236, TX failed 53441.
Node 10, RX suc 393762, TX suc 1812891, RX failed 2639288, TX failed 283533.
Node 11, RX suc 684499, TX suc 1092313, RX failed 3447016, TX failed 196383.
Node 12, RX suc 3577, TX suc 316736, RX failed 360709, TX failed 51127.
Node 13, RX suc 0, TX suc 3577, RX failed 0, TX failed 360709.
Node 14, RX suc 0, TX suc 333104, RX failed 0, TX failed 31182.
Node 15, RX suc 3673, TX suc 319001, RX failed 360613, TX failed 48958.
Node 16, RX suc 0, TX suc 3673, RX failed 0, TX failed 360613.
Node 17, RX suc 0, TX suc 287668, RX failed 0, TX failed 76618.
Node 18, RX suc 630545, TX suc 254432, RX failed 94862, TX failed 743563.
Node 19, RX suc 905030, TX suc 139330, RX failed 1243513, TX failed 1895725.
Node 20, RX suc 1646572, TX suc 905030, RX failed 765739, TX failed 1243513.
Node 21, RX suc 662972, TX suc 10110, RX failed 65598, TX failed 1017146.
Node 22, RX suc 0, TX suc 3635, RX failed 0, TX failed 360650.
Node 23, RX suc 226600, TX suc 419345, RX failed 137685, TX failed 171539.
Node 24, RX suc 0, TX suc 326477, RX failed 0, TX failed 37808.
Node 25, RX suc 0, TX suc 348836, RX failed 0, TX failed 15449.
Node 26, RX suc 0, TX suc 362183, RX failed 0, TX failed 2103.
Node 27, RX suc 0, TX suc 318819, RX failed 0, TX failed 45467.
Node 28, RX suc 0, TX suc 311896, RX failed 0, TX failed 52389.
Node 29, RX suc 0, TX suc 357351, RX failed 0, TX failed 6935.
Node 30, RX suc 0, TX suc 349550, RX failed 0, TX failed 14736.
Node 31, RX suc 0, TX suc 249567, RX failed 0, TX failed 114718.
Node 32, RX suc 0, TX suc 226600, RX failed 0, TX failed 137685.
Node 33, RX suc 2348401, TX suc 684499, RX failed 239911, TX failed 3447016.
Node 34, RX suc 0, TX suc 283128, RX failed 0, TX failed 81158.
Node 35, RX suc 0, TX suc 274606, RX failed 0, TX failed 89680.
Node 36, RX suc 0, TX suc 361122, RX failed 0, TX failed 3164.
Node 37, RX suc 2158428, TX suc 2348401, RX failed 1418829, TX failed 239911.
Node 38, RX suc 0, TX suc 351076, RX failed 0, TX failed 13209.
Node 39, RX suc 0, TX suc 140338, RX failed 0, TX failed 223948.
Node 40, RX suc 361122, TX suc 630545, RX failed 3164, TX failed 94862.
Node 41, RX suc 0, TX suc 150810, RX failed 0, TX failed 213476.
Node 42, RX suc 0, TX suc 350583, RX failed 0, TX failed 13703.
